"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 23 14:24:09 GMT 2023","Sun Jul 23 14:24:41 GMT 2023","31437","","test.CreateTestCaseTest","","test.CreateTestCaseTest","createNewTestCaseTest","Тестироване создания новой сущности 'TEST_CASE'",""
"failed","Sun Jul 23 14:24:41 GMT 2023","Sun Jul 23 14:24:56 GMT 2023","15522","","test.CreateTestPlanTest","","test.CreateTestPlanTest","createNewTestPlanTest","Тестироване создания новой сущности 'TEST_PLAN'",""
"passed","Sun Jul 23 14:25:28 GMT 2023","Sun Jul 23 14:25:40 GMT 2023","12091","","test.CreateWorkspaceTest","","test.CreateWorkspaceTest","CreateTestNewWorkspace","Тестироване создания новой сущности 'WORKSPACE'",""
"passed","Sun Jul 23 14:24:56 GMT 2023","Sun Jul 23 14:25:20 GMT 2023","23336","","test.CreateProjectTest","","test.CreateProjectTest","CreateNewProjectTest","Тестироване сущности 'PROJECT' с созданием нового Workspace",""
"passed","Sun Jul 23 14:25:20 GMT 2023","Sun Jul 23 14:25:28 GMT 2023","8494","","test.LoginTest","","test.LoginTest","loginTest","Тест на логин зарегистрированного пользователя",""
"failed","Sun Jul 23 14:23:43 GMT 2023","Sun Jul 23 14:24:09 GMT 2023","25804","","test.CreateMilestoneTest","","test.CreateMilestoneTest","createNewMilestoneTest","Тестироване создания новой сущности 'MILESTONE'",""
