"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jul 12 01:06:43 GMT 2023","Wed Jul 12 01:06:51 GMT 2023","8340","","test.RegistrationTest","","test.RegistrationTest","registrationRandomValueTest","Тест на регистрацию пользователя с рандомными данными",""
"failed","Wed Jul 12 01:06:51 GMT 2023","Wed Jul 12 01:07:05 GMT 2023","13943","","test.CreateProjectTest","","test.CreateProjectTest","createWorkspace","Тестироване создания новой сущности 'PROJECT'",""
"passed","Wed Jul 12 01:07:05 GMT 2023","Wed Jul 12 01:07:13 GMT 2023","7652","","test.LoginTest","","test.LoginTest","loginTest","Тест на логин зарегистрированного пользователя",""
"failed","Wed Jul 12 01:05:51 GMT 2023","Wed Jul 12 01:06:08 GMT 2023","17528","","test.CreateTestCaseTest","","test.CreateTestCaseTest","createTestCase","Тестироване создания новой сущности 'TEST_CASE'",""
"failed","Wed Jul 12 01:06:26 GMT 2023","Wed Jul 12 01:06:42 GMT 2023","16782","","test.CreateTestPlanTest","","test.CreateTestPlanTest","createTestPlanTest","Тестироване создания новой сущности 'TEST_PLAN'",""
"failed","Wed Jul 12 01:05:31 GMT 2023","Wed Jul 12 01:05:51 GMT 2023","19530","","test.CreateMilestoneTest","","test.CreateMilestoneTest","createMilestoneTest","Тестироване создания новой сущности 'MILESTONE'",""
"failed","Wed Jul 12 01:06:09 GMT 2023","Wed Jul 12 01:06:25 GMT 2023","16931","","test.CreateTestRunTest","","test.CreateTestRunTest","createTestRunTest","Тестироване создания новой сущности 'TEST_RUN'",""
"passed","Wed Jul 12 01:07:13 GMT 2023","Wed Jul 12 01:07:23 GMT 2023","10583","","test.CreateWorkspaceTest","","test.CreateWorkspaceTest","createWorkspace","Тестироване создания новой сущности 'WORKSPACE'",""
