"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Jul 23 12:55:46 GMT 2023","Sun Jul 23 12:56:08 GMT 2023","21753","","test.CreateMilestoneTest","","test.CreateMilestoneTest","createNewMilestoneTest","Тестироване создания новой сущности 'MILESTONE'",""
"passed","Sun Jul 23 12:56:08 GMT 2023","Sun Jul 23 12:56:34 GMT 2023","26184","","test.CreateTestCaseTest","","test.CreateTestCaseTest","createNewTestCaseTest","Тестироване создания новой сущности 'TEST_CASE'",""
"passed","Sun Jul 23 12:57:17 GMT 2023","Sun Jul 23 12:57:27 GMT 2023","10258","","test.CreateWorkspaceTest","","test.CreateWorkspaceTest","loginAndCreateTestWorkspace","Тестироване создания новой сущности 'WORKSPACE'",""
"passed","Sun Jul 23 12:56:48 GMT 2023","Sun Jul 23 12:57:09 GMT 2023","20782","","test.CreateProjectTest","","test.CreateProjectTest","CreateNewProjectTest","Тестироване сущности 'PROJECT' с созданием нового Workspace",""
"failed","Sun Jul 23 12:56:34 GMT 2023","Sun Jul 23 12:56:48 GMT 2023","14037","","test.CreateTestPlanTest","","test.CreateTestPlanTest","createNewTestPlanTest","Тестироване создания новой сущности 'TEST_PLAN'",""
"passed","Sun Jul 23 12:57:09 GMT 2023","Sun Jul 23 12:57:17 GMT 2023","7549","","test.LoginTest","","test.LoginTest","loginTest","Тест на логин зарегистрированного пользователя",""
