"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 23 12:38:07 GMT 2023","Sun Jul 23 12:38:32 GMT 2023","25552","","test.CreateTestCaseTest","","test.CreateTestCaseTest","createNewTestCaseTest","Тестироване создания новой сущности 'TEST_CASE'",""
"passed","Sun Jul 23 12:39:12 GMT 2023","Sun Jul 23 12:39:22 GMT 2023","9830","","test.CreateWorkspaceTest","","test.CreateWorkspaceTest","loginAndCreateTestWorkspace","Тестироване создания новой сущности 'WORKSPACE'",""
"passed","Sun Jul 23 12:38:46 GMT 2023","Sun Jul 23 12:39:04 GMT 2023","18470","","test.CreateProjectTest","","test.CreateProjectTest","CreateNewProjectTest","Тестироване сущности 'PROJECT' с созданием нового Workspace",""
"passed","Sun Jul 23 12:39:05 GMT 2023","Sun Jul 23 12:39:12 GMT 2023","7076","","test.LoginTest","","test.LoginTest","loginTest","Тест на логин зарегистрированного пользователя",""
"failed","Sun Jul 23 12:38:32 GMT 2023","Sun Jul 23 12:38:46 GMT 2023","13435","","test.CreateTestPlanTest","","test.CreateTestPlanTest","createNewTestPlanTest","Тестироване создания новой сущности 'TEST_PLAN'",""
"failed","Sun Jul 23 12:37:45 GMT 2023","Sun Jul 23 12:38:07 GMT 2023","21205","","test.CreateMilestoneTest","","test.CreateMilestoneTest","createNewMilestoneTest","Тестироване создания новой сущности 'MILESTONE'",""
