"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 23 13:57:39 GMT 2023","Sun Jul 23 13:58:02 GMT 2023","22488","","test.CreateProjectTest","","test.CreateProjectTest","CreateNewProjectTest","Тестироване сущности 'PROJECT' с созданием нового Workspace",""
"passed","Sun Jul 23 13:58:10 GMT 2023","Sun Jul 23 13:58:22 GMT 2023","11620","","test.CreateWorkspaceTest","","test.CreateWorkspaceTest","CreateTestNewWorkspace","Тестироване создания новой сущности 'WORKSPACE'",""
"failed","Sun Jul 23 13:57:00 GMT 2023","Sun Jul 23 13:57:15 GMT 2023","14452","","test.CreateMilestoneTest","","test.CreateMilestoneTest","createNewMilestoneTest","Тестироване создания новой сущности 'MILESTONE'",""
"failed","Sun Jul 23 13:57:27 GMT 2023","Sun Jul 23 13:57:39 GMT 2023","12370","","test.CreateTestPlanTest","","test.CreateTestPlanTest","createNewTestPlanTest","Тестироване создания новой сущности 'TEST_PLAN'",""
"passed","Sun Jul 23 13:58:02 GMT 2023","Sun Jul 23 13:58:10 GMT 2023","8306","","test.LoginTest","","test.LoginTest","loginTest","Тест на логин зарегистрированного пользователя",""
"failed","Sun Jul 23 13:57:15 GMT 2023","Sun Jul 23 13:57:27 GMT 2023","11820","","test.CreateTestCaseTest","","test.CreateTestCaseTest","createNewTestCaseTest","Тестироване создания новой сущности 'TEST_CASE'",""
