"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 21 15:47:11 GMT 2023","Fri Jul 21 15:47:23 GMT 2023","11423","","test.CreateWorkspaceTest","","test.CreateWorkspaceTest","loginAndCreateTestWorkspace","Тестироване создания новой сущности 'WORKSPACE'",""
"passed","Fri Jul 21 15:47:03 GMT 2023","Fri Jul 21 15:47:11 GMT 2023","8145","","test.LoginTest","","test.LoginTest","loginTest","Тест на логин зарегистрированного пользователя",""
"passed","Fri Jul 21 15:46:37 GMT 2023","Fri Jul 21 15:46:57 GMT 2023","20105","","test.CreateProjectTest","","test.CreateProjectTest","loginAndCreateNewWorkspaceCreateNewProject","Тестироване создания новой сущности 'PROJECT'",""
"failed","Fri Jul 21 15:46:57 GMT 2023","Fri Jul 21 15:47:03 GMT 2023","5542","","test.CreateProjectTest","","test.CreateProjectTest","loginAndCreateTestProject","Тестироване создания новой сущности 'PROJECT'",""
