"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Jul 23 13:08:21 GMT 2023","Sun Jul 23 13:08:35 GMT 2023","13583","","test.CreateTestPlanTest","","test.CreateTestPlanTest","createNewTestPlanTest","Тестироване создания новой сущности 'TEST_PLAN'",""
"passed","Sun Jul 23 13:08:47 GMT 2023","Sun Jul 23 13:08:57 GMT 2023","9583","","test.LoginTest","","test.LoginTest","loginTest","Тест на логин зарегистрированного пользователя",""
"failed","Sun Jul 23 13:08:57 GMT 2023","Sun Jul 23 13:09:09 GMT 2023","12226","","test.CreateWorkspaceTest","","test.CreateWorkspaceTest","loginAndCreateTestWorkspace","Тестироване создания новой сущности 'WORKSPACE'",""
"failed","Sun Jul 23 13:07:49 GMT 2023","Sun Jul 23 13:08:08 GMT 2023","18643","","test.CreateMilestoneTest","","test.CreateMilestoneTest","createNewMilestoneTest","Тестироване создания новой сущности 'MILESTONE'",""
"failed","Sun Jul 23 13:08:35 GMT 2023","Sun Jul 23 13:08:47 GMT 2023","12214","","test.CreateProjectTest","","test.CreateProjectTest","CreateNewProjectTest","Тестироване сущности 'PROJECT' с созданием нового Workspace",""
"failed","Sun Jul 23 13:08:08 GMT 2023","Sun Jul 23 13:08:21 GMT 2023","13010","","test.CreateTestCaseTest","","test.CreateTestCaseTest","createNewTestCaseTest","Тестироване создания новой сущности 'TEST_CASE'",""
