"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 24 09:18:08 GMT 2023","Mon Jul 24 09:18:28 GMT 2023","20021","","test.CreateProjectTest","","test.CreateProjectTest","CreateNewProjectTest","Тестироване сущности 'PROJECT' с созданием нового Workspace",""
"passed","Mon Jul 24 09:17:27 GMT 2023","Mon Jul 24 09:17:53 GMT 2023","25856","","test.CreateTestCaseTest","","test.CreateTestCaseTest","createNewTestCaseTest","Тестироване создания новой сущности 'TEST_CASE'",""
"passed","Mon Jul 24 09:18:36 GMT 2023","Mon Jul 24 09:18:46 GMT 2023","9932","","test.CreateWorkspaceTest","","test.CreateWorkspaceTest","CreateTestNewWorkspace","Тестироване создания новой сущности 'WORKSPACE'",""
"passed","Mon Jul 24 09:18:28 GMT 2023","Mon Jul 24 09:18:36 GMT 2023","7105","","test.LoginTest","","test.LoginTest","loginTest","Тест на логин зарегистрированного пользователя",""
"failed","Mon Jul 24 09:17:06 GMT 2023","Mon Jul 24 09:17:27 GMT 2023","21235","","test.CreateMilestoneTest","","test.CreateMilestoneTest","createNewMilestoneTest","Тестироване создания новой сущности 'MILESTONE'",""
"failed","Mon Jul 24 09:17:53 GMT 2023","Mon Jul 24 09:18:08 GMT 2023","15123","","test.CreateTestPlanTest","","test.CreateTestPlanTest","createNewTestPlanTest","Тестироване создания новой сущности 'TEST_PLAN'",""
